Date,Dwarf,Winnings
2012-10-08T21:52:03-07:00,Grumpy,2396
2012-10-30T11:26:24-07:00,Grumpy,2446
2012-04-28T05:55:22-07:00,Happy,3236
2012-11-05T10:14:27-08:00,Happy,5465
2012-10-13T06:55:10-07:00,Grumpy,4739
2012-01-23T15:28:54-08:00,Doc,5331
2012-09-30T09:55:27-07:00,Sneezy,9410
2012-10-26T12:49:44-07:00,Grumpy,4142
2012-12-29T02:37:21-08:00,Sleepy,9501
2012-05-10T15:07:08-07:00,Bashful,5732
2012-01-21T08:11:09-08:00,Happy,7269
2012-01-20T02:34:09-08:00,Grumpy,9241
2012-01-03T10:37:14-08:00,Doc,2434
2012-07-09T19:49:40-07:00,Dopey,2703
2012-02-27T20:24:12-08:00,Doc,5830
2012-02-29T07:11:15-08:00,Happy,6010
2012-03-08T10:08:29-08:00,Grumpy,5673
2012-04-10T08:36:34-07:00,Bashful,7137
2012-06-09T00:05:13-07:00,Grumpy,1479
2012-04-10T09:41:52-07:00,Sleepy,6764
2012-03-20T08:27:05-07:00,Sleepy,2868
2012-01-04T10:48:18-08:00,Grumpy,8072
2012-06-15T04:52:42-07:00,Happy,8968
2012-05-10T00:17:39-07:00,Doc,9998
2012-06-22T02:24:33-07:00,Happy,603
2012-03-15T00:55:43-07:00,Doc,2553
2012-04-08T13:24:51-07:00,Dopey,1583
2012-05-29T08:00:35-07:00,Doc,8000
2012-02-18T21:46:05-08:00,Sneezy,3502
2012-04-09T11:31:38-07:00,Sneezy,7363
2012-11-30T03:56:39-08:00,Bashful,9309
2012-10-10T04:59:50-07:00,Bashful,6807
2012-01-19T20:13:57-08:00,Sleepy,9297
2012-09-29T00:00:16-07:00,Doc,6280
2012-06-10T00:31:20-07:00,Sleepy,8363
2012-07-25T18:03:42-07:00,Sneezy,7802
2012-10-16T17:39:55-07:00,Sneezy,5979
2012-07-26T11:24:52-07:00,Dopey,5142
2012-04-24T07:05:49-07:00,Sneezy,5127
2012-06-02T13:36:51-07:00,Sneezy,1786
2012-09-13T20:22:10-07:00,Bashful,134
2012-02-14T12:06:56-08:00,Sneezy,7589
2012-02-19T05:29:26-08:00,Happy,2583
2012-07-24T06:34:39-07:00,Bashful,3284
2012-10-12T15:26:27-07:00,Dopey,4687
2012-01-13T00:50:55-08:00,Dopey,9828
2012-05-30T19:23:53-07:00,Sneezy,1134
2012-08-26T09:10:02-07:00,Sleepy,7556
2012-05-09T10:39:11-07:00,Dopey,5663
2012-04-05T13:39:11-07:00,Happy,2893
2012-04-05T08:22:50-07:00,Sneezy,4066
2012-03-04T20:13:47-08:00,Sleepy,6571
2012-09-13T11:53:51-07:00,Bashful,1348
2012-12-27T14:33:57-08:00,Sneezy,3935
2012-11-13T05:11:30-08:00,Happy,2915
2012-08-07T12:41:18-07:00,Bashful,3726
2012-06-03T02:49:52-07:00,Happy,2078
2012-12-09T08:49:57-08:00,Sneezy,7429
2012-09-16T10:31:31-07:00,Doc,5319
2012-02-04T16:30:11-08:00,Grumpy,3309
2012-08-11T16:51:52-07:00,Happy,4580
2012-08-23T06:07:05-07:00,Sneezy,6756
2012-11-11T07:30:06-08:00,Sleepy,5709
2012-01-24T01:43:07-08:00,Sleepy,3634
2012-07-15T06:29:59-07:00,Bashful,8247
2012-07-25T13:19:04-07:00,Doc,4685
2012-02-22T23:32:58-08:00,Dopey,8779
2012-06-26T20:12:45-07:00,Happy,4660
2012-03-20T02:31:05-07:00,Grumpy,1615
2012-12-24T06:12:50-08:00,Bashful,1821
2012-05-06T22:07:29-07:00,Happy,3470
2012-10-12T08:11:21-07:00,Dopey,7292
2012-12-08T16:00:46-08:00,Sleepy,1377
2012-08-22T12:59:20-07:00,Sleepy,8925
2012-10-08T03:12:17-07:00,Sneezy,6656
2012-09-02T02:23:53-07:00,Bashful,1522
2012-01-20T09:37:17-08:00,Dopey,9260
2012-07-29T05:01:30-07:00,Doc,2106
2012-05-07T09:04:45-07:00,Bashful,5257
2012-12-16T13:11:42-08:00,Doc,476
2012-01-12T11:21:31-08:00,Dopey,9721
2012-04-18T23:58:44-07:00,Doc,7968
2012-03-13T12:24:23-07:00,Sleepy,6710
2012-12-22T08:18:52-08:00,Sleepy,686
2012-09-26T20:22:38-07:00,Bashful,5672
2012-04-13T20:16:32-07:00,Sneezy,2020
2012-04-27T21:03:49-07:00,Bashful,7517
2012-11-25T08:14:59-08:00,Sleepy,214
2012-02-15T14:30:21-08:00,Doc,1237
2012-11-20T11:35:49-08:00,Bashful,8906
2012-02-17T07:06:29-08:00,Happy,130
2012-04-25T23:08:54-07:00,Sneezy,3583
2012-03-24T21:17:37-07:00,Sleepy,4232
2012-01-30T22:04:28-08:00,Bashful,604
2012-01-23T20:33:23-08:00,Bashful,8837
2012-04-17T17:45:43-07:00,Doc,4781
2012-12-14T14:02:05-08:00,Doc,2781
2012-10-02T21:17:09-07:00,Doc,9247
2012-08-06T22:29:48-07:00,Grumpy,2738
2012-07-03T00:46:20-07:00,Dopey,2839
2012-06-15T12:54:20-07:00,Grumpy,8571
2012-03-21T23:00:35-07:00,Sleepy,5693
2012-09-25T19:41:31-07:00,Sneezy,1041
2012-09-07T16:47:39-07:00,Grumpy,9079
2012-11-14T10:14:08-08:00,Doc,6489
2012-05-02T06:44:22-07:00,Sleepy,7780
2012-09-17T01:52:00-07:00,Grumpy,1550
2012-08-18T06:29:19-07:00,Happy,2750
2012-11-29T10:13:10-08:00,Sleepy,4957
2012-06-14T16:38:14-07:00,Sneezy,276
2012-08-07T21:46:57-07:00,Sleepy,8457
2012-08-21T22:13:53-07:00,Dopey,1242
2012-05-05T18:17:18-07:00,Doc,8190
2012-11-21T13:57:22-08:00,Sneezy,8386
2012-03-07T22:01:56-08:00,Sleepy,5277
2012-11-09T23:15:50-08:00,Sleepy,9669
2012-12-28T22:36:43-08:00,Doc,3616
2012-01-25T06:19:53-08:00,Dopey,3341
2012-12-07T18:39:33-08:00,Dopey,8925
2012-10-19T01:52:14-07:00,Grumpy,1374
2012-02-22T09:48:33-08:00,Dopey,6691
2012-09-25T16:01:41-07:00,Bashful,3675
2012-07-31T11:43:13-07:00,Happy,5816
2012-12-06T16:37:55-08:00,Dopey,8262
2012-12-07T09:43:27-08:00,Happy,3
2012-09-05T11:06:26-07:00,Grumpy,9241
2012-01-29T20:39:40-08:00,Grumpy,5976
2012-01-21T08:47:48-08:00,Dopey,1946
2012-02-07T19:24:34-08:00,Sleepy,769
2012-10-07T16:43:39-07:00,Dopey,7384
2012-10-28T15:27:17-07:00,Grumpy,4690
2012-12-08T21:10:50-08:00,Dopey,2598
2012-12-04T22:42:34-08:00,Happy,5628
2012-04-05T21:33:59-07:00,Grumpy,5211
2012-03-02T23:33:57-08:00,Dopey,665
2012-02-22T19:43:32-08:00,Dopey,5016
2012-12-05T01:50:42-08:00,Bashful,2313
2012-03-28T15:42:15-07:00,Happy,6480
2012-05-02T11:21:45-07:00,Doc,5836
2012-05-01T15:29:47-07:00,Bashful,412
2012-05-24T19:39:59-07:00,Dopey,9185
2012-10-06T04:27:40-07:00,Sleepy,4513
2012-09-02T14:57:45-07:00,Sleepy,5149
2012-12-29T16:14:31-08:00,Dopey,4647
2012-01-13T15:51:02-08:00,Dopey,84
2012-01-20T12:20:56-08:00,Bashful,3175
2012-03-04T08:48:10-08:00,Sleepy,4711
2012-06-02T05:19:32-07:00,Bashful,7403
2012-01-07T02:47:24-08:00,Dopey,4754
2012-12-24T13:39:04-08:00,Bashful,5898
2012-12-15T22:11:19-08:00,Dopey,5181
2012-01-20T20:06:44-08:00,Grumpy,9049
2012-10-04T11:59:54-07:00,Sleepy,5466
2012-02-18T23:57:22-08:00,Doc,9989
2012-09-11T13:15:00-07:00,Sneezy,4923
2012-02-13T23:31:08-08:00,Sneezy,6536
2012-01-31T18:59:34-08:00,Bashful,3028
2012-05-29T15:17:25-07:00,Sleepy,7376
2012-05-22T19:52:17-07:00,Sneezy,7912
2012-04-06T14:52:04-07:00,Sleepy,4311
2012-01-21T01:19:40-08:00,Doc,139
2012-02-06T12:43:18-08:00,Sneezy,8166
2012-06-23T16:19:36-07:00,Sneezy,8218
2012-08-04T13:00:52-07:00,Grumpy,195
2012-11-15T17:22:38-08:00,Happy,2415
2012-12-02T12:41:49-08:00,Doc,2834
2012-10-27T16:43:22-07:00,Sleepy,8930
2012-12-17T15:24:57-08:00,Doc,3085
2012-02-25T03:51:38-08:00,Grumpy,5626
2012-11-19T15:35:51-08:00,Dopey,7039
2012-06-29T00:21:52-07:00,Doc,8853
2012-03-31T04:14:03-07:00,Sleepy,2383
2012-02-03T02:41:19-08:00,Sleepy,6689
2012-03-17T00:52:18-07:00,Sleepy,62
2012-02-28T03:39:02-08:00,Sleepy,4217
2012-10-24T09:20:59-07:00,Doc,5819
2012-09-02T11:09:18-07:00,Doc,7028
2012-05-10T00:17:18-07:00,Grumpy,2579
2012-12-12T03:55:01-08:00,Grumpy,3014
2012-01-18T02:19:12-08:00,Sleepy,8027
2012-03-18T13:57:16-07:00,Sneezy,6547
2012-06-16T23:09:47-07:00,Happy,4357
2012-03-26T04:52:08-07:00,Grumpy,8965
2012-08-20T03:27:28-07:00,Dopey,7242
2012-05-24T20:28:49-07:00,Sneezy,2380
2012-03-09T09:29:30-08:00,Bashful,3847
2012-09-01T06:02:36-07:00,Doc,7846
2012-07-10T10:49:39-07:00,Grumpy,1524
2012-08-22T07:31:04-07:00,Bashful,1108
2012-05-12T04:37:33-07:00,Dopey,4260
2012-09-03T12:25:27-07:00,Happy,8320
2012-05-21T13:44:45-07:00,Doc,510
2012-10-31T13:39:26-07:00,Sneezy,977
2012-03-11T03:06:00-07:00,Grumpy,1191
2012-09-28T11:58:04-07:00,Dopey,9681
2012-03-30T09:21:10-07:00,Bashful,6072
2012-07-06T20:51:12-07:00,Grumpy,8011
2012-12-30T11:23:32-08:00,Dopey,1371
2012-11-07T05:56:45-08:00,Grumpy,8002
2012-08-23T12:34:02-07:00,Sneezy,572

